R2_Score & VE & ERM & EMA & EQM
Support Vector Regression & 0.1452 & 0.355 & 0.2062 & 0.1123 & 0.0165 \\
Linear Regression & 0.1467 & 0.1812 & 0.2465 & 0.1063 & 0.0164 \\
Bayesian Ridge & 0.766 & 0.7938 & 0.1085 & 0.0557 & 0.0045 \\
Lasso & 0.2193 & 0.2656 & 0.27 & 0.0974 & 0.015 \\
Decision Tree  & 0.4671 & 0.6098 & 0.2204 & 0.0791 & 0.0103 \\
Random Forest & 0.771 & 0.7913 & 0.1375 & 0.0547 & 0.0044 \\

