,Molecule ChEMBL ID,Smiles
55,CHEMBL3828647,CCOC(=O)c1c(/N=c2\scc(-c3ccccc3)n2-c2ccccc2)sc2c1CCCC2
56,CHEMBL3827142,CCOC(=O)c1c(NC(=S)Nc2ccccc2)sc2c1CCCC2
57,CHEMBL3828686,C=CCN1C(=O)C(C(=O)OCC)S/C1=N\c1sc2c(c1C(=O)OCC)CCCC2
58,CHEMBL3827939,C=CCn1c(-c2ccccc2)cs/c1=N\c1sc2c(c1C(=O)OC(C)C)CCCC2
59,CHEMBL3827522,CCOC(=O)c1c(/N=C2\SC(C(=O)OCC)C(=O)N2c2ccccc2)sc2c1CCCC2
60,CHEMBL1292,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
61,CHEMBL1916946,COc1cc2c(cc1OC)/C(=N/NC(=S)Nc1ccc(Cl)cc1)CC2
62,CHEMBL2064835,Cc1ccc(-c2csc(N/N=C3\CCc4c(C)cccc43)n2)cc1
63,CHEMBL1276255,CCC1S/C(=N/N=C/CSc2ccc(Br)cc2)NC1=O
64,CHEMBL3827939,C=CCn1c(-c2ccccc2)cs/c1=N\c1sc2c(c1C(=O)OC(C)C)CCCC2
65,CHEMBL3828195,C=CCN1C(=O)C(CC(=O)O)S/C1=N\c1sc2c(c1C(=O)OCC)CCCC2
66,CHEMBL2180332,C/C(COc1ccccc1)=N\Nc1nc(-c2ccc(C(C)(C)C)cc2)cs1
67,CHEMBL568619,COc1ccc(C(=O)/C=C/c2ccc3no[n+]([O-])c3c2)cc1
68,CHEMBL249810,CCOC(=O)[C@H]1O[C@H]1[C@H](O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
69,CHEMBL1079106,Cc1onc(-c2ccc(F)cc2)c1C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1
70,CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
71,CHEMBL528696,Clc1ccc2c(NCc3ccccc3)ccnc2c1
72,CHEMBL148139,Clc1ccc2c(NCCN3CCOCC3)ccnc2c1
73,CHEMBL4069647,CN1CCN(CC(=O)Nc2ccc(Cl)cc2)CC1
74,CHEMBL238428,[O-][n+]1onc2cc(/C=C\[S+]([O-])c3ccccc3)ccc21
