,molregno,chembl_id,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations
177,1449131,CHEMBL2218858,505.57,4.21,8.0,1.0,111.01,7.0,N,1.0,,8.09,4.02,3.26,NEUTRAL,505.57,2.0,37.0,0.34,505.2213,C28H31N3O6,9.0,1.0,1.0
178,1501180,CHEMBL2297590,272.17,2.01,2.0,2.0,50.41,2.0,Y,0.0,11.67,1.59,2.28,2.28,NEUTRAL,272.17,1.0,14.0,0.49,270.9779,C9H10BrN3S,3.0,3.0,0.0
179,1573966,CHEMBL2409542,294.38,4.04,5.0,1.0,50.17,4.0,N,0.0,9.57,2.94,4.19,4.19,NEUTRAL,294.38,3.0,21.0,0.58,294.0939,C16H14N4S,4.0,1.0,0.0
180,1578891,CHEMBL2420104,208.29,0.83,3.0,3.0,76.43,2.0,N,0.0,11.67,4.29,0.68,0.68,NEUTRAL,208.29,1.0,14.0,0.29,208.0783,C9H12N4S,4.0,5.0,0.0
181,1578892,CHEMBL2420105,208.29,0.83,3.0,3.0,76.43,2.0,N,0.0,11.67,4.22,0.68,0.68,NEUTRAL,208.29,1.0,14.0,0.29,208.0783,C9H12N4S,4.0,5.0,0.0
182,1578893,CHEMBL2420106,208.29,0.18,3.0,3.0,76.43,3.0,N,0.0,11.65,7.96,0.59,-0.08,NEUTRAL,244.75,1.0,14.0,0.38,208.0783,C9H13ClN4S,4.0,5.0,0.0
183,1578894,CHEMBL2420107,238.27,1.15,4.0,2.0,93.55,3.0,N,0.0,11.67,1.32,1.45,1.45,NEUTRAL,238.27,1.0,16.0,0.36,238.0524,C9H10N4O2S,6.0,3.0,0.0
184,1578895,CHEMBL2420108,253.29,0.09,5.0,3.0,119.57,4.0,N,0.0,11.64,7.87,0.53,-0.07,NEUTRAL,334.2,1.0,17.0,0.3,253.0633,C9H12BrN5O2S,7.0,5.0,0.0
185,1578896,CHEMBL2420109,253.29,0.73,5.0,3.0,119.57,3.0,N,0.0,11.67,3.0,1.27,1.27,NEUTRAL,253.29,1.0,17.0,0.24,253.0633,C9H11N5O2S,7.0,5.0,0.0
186,1578897,CHEMBL2420110,253.29,0.73,5.0,3.0,119.57,3.0,N,0.0,11.67,2.69,1.27,1.27,NEUTRAL,253.29,1.0,17.0,0.24,253.0633,C9H11N5O2S,7.0,5.0,0.0
187,1578898,CHEMBL2420111,253.29,0.09,5.0,3.0,119.57,4.0,N,0.0,11.65,7.88,0.53,-0.07,NEUTRAL,334.2,1.0,17.0,0.3,253.0633,C9H12BrN5O2S,7.0,5.0,0.0
188,1578899,CHEMBL2420112,254.27,0.12,5.0,3.0,113.78,4.0,N,0.0,11.62,0.54,0.63,0.63,NEUTRAL,254.27,1.0,17.0,0.3,254.0474,C9H10N4O3S,7.0,4.0,0.0
189,1578900,CHEMBL2417578,353.36,0.11,6.0,4.0,159.95,8.0,N,0.0,3.67,0.84,0.17,-3.15,ACID,353.36,1.0,24.0,0.22,353.0794,C13H15N5O5S,10.0,5.0,0.0
190,1578901,CHEMBL2420113,354.34,0.54,7.0,3.0,157.15,8.0,N,0.0,3.53,0.48,0.9,-2.47,ACID,354.34,1.0,24.0,0.2,354.0634,C13H14N4O6S,10.0,4.0,0.0
191,1612781,CHEMBL3104697,350.33,4.33,5.0,0.0,103.35,4.0,N,0.0,,,5.03,5.03,,350.33,2.0,26.0,0.46,350.0903,C19H14N2O5,7.0,0.0,0.0
192,1612783,CHEMBL3104699,376.46,6.0,3.0,0.0,42.85,2.0,N,1.0,,4.87,5.91,5.91,NEUTRAL,376.46,4.0,29.0,0.4,376.1576,C26H20N2O,3.0,0.0,1.0
193,1612785,CHEMBL3104701,376.46,6.0,3.0,0.0,42.85,2.0,N,1.0,,5.31,5.14,5.14,NEUTRAL,376.46,4.0,29.0,0.4,376.1576,C26H20N2O,3.0,0.0,1.0
194,1612788,CHEMBL3104704,510.6,2.87,9.0,2.0,118.95,10.0,N,1.0,,0.7,3.8,3.8,NEUTRAL,510.6,4.0,38.0,0.31,510.2379,C29H30N6O3,9.0,2.0,1.0
195,1617070,CHEMBL3114105,328.83,4.69,5.0,1.0,50.17,4.0,N,0.0,9.57,2.92,4.79,4.79,NEUTRAL,328.83,3.0,22.0,0.56,328.0549,C16H13ClN4S,4.0,1.0,0.0
196,1621223,CHEMBL3121897,282.33,1.57,5.0,2.0,102.78,5.0,N,0.0,11.69,0.67,2.11,2.11,NEUTRAL,282.33,1.0,19.0,0.37,282.0787,C11H14N4O3S,7.0,3.0,0.0
197,1621224,CHEMBL3121898,294.38,1.62,4.0,3.0,88.74,5.0,N,0.0,11.69,1.08,1.41,1.41,NEUTRAL,294.38,1.0,20.0,0.44,294.115,C13H18N4O2S,6.0,4.0,0.0
198,1621227,CHEMBL3121901,271.77,2.32,3.0,2.0,59.64,4.0,N,0.0,11.69,0.8,2.78,2.78,NEUTRAL,271.77,1.0,17.0,0.5,271.0546,C11H14ClN3OS,4.0,3.0,0.0
199,1621229,CHEMBL3121903,316.22,2.43,3.0,2.0,59.64,4.0,N,0.0,11.69,0.76,2.94,2.94,NEUTRAL,316.22,1.0,17.0,0.51,315.0041,C11H14BrN3OS,4.0,3.0,0.0
200,1621230,CHEMBL3121904,316.22,2.43,3.0,2.0,59.64,4.0,N,0.0,11.69,0.76,2.94,2.94,NEUTRAL,316.22,1.0,17.0,0.51,315.0041,C11H14BrN3OS,4.0,3.0,0.0
201,1621231,CHEMBL3121905,363.22,2.27,3.0,2.0,59.64,4.0,N,0.0,11.69,0.73,3.1,3.1,NEUTRAL,363.22,1.0,17.0,0.37,362.9902,C11H14IN3OS,4.0,3.0,0.0
202,1621232,CHEMBL3121906,313.43,3.33,3.0,2.0,59.64,5.0,N,0.0,11.69,1.52,3.82,3.82,NEUTRAL,313.43,2.0,22.0,0.5,313.1249,C17H19N3OS,4.0,3.0,0.0
203,1621234,CHEMBL3121908,313.43,3.33,3.0,2.0,59.64,5.0,N,0.0,11.69,1.69,3.82,3.82,NEUTRAL,313.43,2.0,22.0,0.5,313.1249,C17H19N3OS,4.0,3.0,0.0
204,1621235,CHEMBL3121909,329.43,3.46,4.0,2.0,68.87,6.0,N,0.0,11.69,0.88,3.67,3.67,NEUTRAL,329.43,2.0,23.0,0.48,329.1198,C17H19N3O2S,5.0,3.0,0.0
205,1621236,CHEMBL3121910,287.39,2.82,3.0,2.0,59.64,4.0,N,0.0,11.69,1.66,3.16,3.16,NEUTRAL,287.39,2.0,20.0,0.52,287.1092,C15H17N3OS,4.0,3.0,0.0
206,1621241,CHEMBL3121915,237.33,1.66,3.0,2.0,59.64,4.0,N,0.0,11.69,1.53,2.17,2.17,NEUTRAL,237.33,1.0,16.0,0.47,237.0936,C11H15N3OS,4.0,3.0,0.0
207,1727138,CHEMBL3220735,456.55,3.1,5.0,1.0,83.84,6.0,N,0.0,,11.25,3.55,2.35,BASE,456.55,4.0,34.0,0.27,456.2274,C26H28N6O2,8.0,1.0,0.0
208,1727139,CHEMBL3220736,442.52,3.06,5.0,1.0,83.84,5.0,N,0.0,,11.02,3.3,2.1,BASE,442.52,4.0,33.0,0.29,442.2117,C25H26N6O2,8.0,1.0,0.0
209,1727140,CHEMBL3220737,428.5,3.38,5.0,1.0,83.84,4.0,N,0.0,,9.42,3.35,2.2,BASE,428.5,4.0,32.0,0.3,428.1961,C24H24N6O2,8.0,1.0,0.0
210,1727141,CHEMBL3220738,432.48,2.65,6.0,1.0,96.98,5.0,N,0.0,,10.51,2.25,1.05,BASE,432.48,4.0,32.0,0.29,432.191,C23H24N6O3,9.0,1.0,0.0
211,1727142,CHEMBL3220739,498.63,2.05,4.0,1.0,83.01,6.0,N,0.0,-4.28,11.32,-1.92,0.55,ZWITTERION,498.63,3.0,37.0,0.24,498.2743,C29H34N6O2,8.0,1.0,0.0
212,1727143,CHEMBL3220740,484.6,2.01,4.0,1.0,83.01,5.0,N,0.0,-4.29,11.1,-2.21,0.27,ZWITTERION,484.6,3.0,36.0,0.26,484.2587,C28H32N6O2,8.0,1.0,0.0
213,1727144,CHEMBL3220741,474.57,1.6,5.0,1.0,96.15,5.0,N,0.0,-4.31,10.58,-3.15,-0.67,ZWITTERION,474.57,3.0,35.0,0.26,474.2379,C26H30N6O3,9.0,1.0,0.0
214,1727145,CHEMBL3220742,308.43,2.6,2.0,2.0,39.66,4.0,N,0.0,,10.72,3.19,0.33,BASE,308.43,2.0,23.0,0.67,308.2001,C19H24N4,4.0,2.0,0.0
215,1727146,CHEMBL3220743,294.4,2.56,2.0,2.0,39.66,3.0,Y,0.0,,10.56,2.9,0.07,BASE,294.4,2.0,22.0,0.67,294.1844,C18H22N4,4.0,2.0,0.0
216,1727147,CHEMBL3220744,280.37,2.69,2.0,2.0,39.66,2.0,Y,0.0,,10.12,2.77,0.75,BASE,280.37,2.0,21.0,0.66,280.1688,C17H20N4,4.0,2.0,0.0
217,1727148,CHEMBL3220745,284.36,2.15,3.0,2.0,52.8,3.0,Y,0.0,,10.01,1.96,-0.73,BASE,284.36,2.0,21.0,0.67,284.1637,C16H20N4O,5.0,2.0,0.0
218,1728363,CHEMBL3221948,319.06,,,,,,,,,,,,,319.06,,,,318.9223,C9H10BrN3Se,,,
219,1728364,CHEMBL3221949,305.04,,,,,,,,,,,,,305.04,,,,304.9067,C8H8BrN3Se,,,
220,1728365,CHEMBL3221950,295.03,,,,,,,,,,,,,295.03,,,,294.9182,C8H7Cl2N3Se,,,
221,1728366,CHEMBL3221951,294.14,,,,,,,,,,,,,294.14,,,,294.9836,C9H8F3N3Se,,,
222,1728367,CHEMBL3221952,460.03,,,,,,,,,,,,,460.03,,,,458.8485,C14H11Br2N3Se,,,
223,1728368,CHEMBL3221953,351.14,,,,,,,,,,,,,351.14,,,,350.9808,C12H15Cl2N3Se,,,
224,1731580,CHEMBL3233081,313.33,2.44,3.0,2.0,67.01,6.0,N,0.0,11.81,5.36,2.17,2.17,NEUTRAL,313.33,3.0,23.0,0.73,313.1227,C17H16FN3O2,5.0,2.0,0.0
225,1731581,CHEMBL3233082,329.79,2.95,3.0,2.0,67.01,6.0,N,0.0,11.81,5.36,2.64,2.63,NEUTRAL,329.79,3.0,23.0,0.73,329.0931,C17H16ClN3O2,5.0,2.0,0.0
226,1731582,CHEMBL3233083,421.24,2.91,3.0,2.0,67.01,6.0,N,0.0,11.81,5.36,2.96,2.96,NEUTRAL,421.24,3.0,23.0,0.6,421.0287,C17H16IN3O2,5.0,2.0,0.0
227,1731583,CHEMBL3233084,320.35,2.17,4.0,2.0,90.8,6.0,N,0.0,11.81,5.36,1.89,1.88,NEUTRAL,320.35,3.0,24.0,0.73,320.1273,C18H16N4O2,6.0,2.0,0.0
228,1731584,CHEMBL3233085,340.34,2.21,5.0,2.0,110.15,7.0,N,0.0,11.8,5.36,1.97,1.97,NEUTRAL,340.34,3.0,25.0,0.51,340.1172,C17H16N4O4,8.0,2.0,0.0
229,1731585,CHEMBL3233086,310.36,1.88,4.0,3.0,93.03,6.0,N,0.0,11.81,5.39,1.2,1.2,NEUTRAL,310.36,3.0,23.0,0.61,310.143,C17H18N4O2,6.0,4.0,0.0
230,1731586,CHEMBL3233087,352.39,2.26,4.0,3.0,96.11,7.0,N,0.0,11.74,5.36,1.27,1.27,NEUTRAL,352.39,3.0,26.0,0.61,352.1535,C19H20N4O3,7.0,3.0,0.0
231,1731587,CHEMBL3233088,374.24,3.06,3.0,2.0,67.01,6.0,N,0.0,11.81,5.36,2.8,2.8,NEUTRAL,374.24,3.0,23.0,0.7,373.0426,C17H16BrN3O2,5.0,2.0,0.0
232,1731588,CHEMBL3233089,374.24,3.06,3.0,2.0,67.01,6.0,N,0.0,11.81,5.36,2.8,2.8,NEUTRAL,374.24,3.0,23.0,0.7,373.0426,C17H16BrN3O2,5.0,2.0,0.0
233,1731589,CHEMBL3233090,345.4,3.45,3.0,2.0,67.01,6.0,N,0.0,11.81,5.36,3.02,3.02,NEUTRAL,345.4,4.0,26.0,0.56,345.1477,C21H19N3O2,5.0,2.0,0.0
234,1731590,CHEMBL3233091,345.4,3.45,3.0,2.0,67.01,6.0,N,0.0,11.81,5.36,3.02,3.02,NEUTRAL,345.4,4.0,26.0,0.56,345.1477,C21H19N3O2,5.0,2.0,0.0
235,1731591,CHEMBL3233092,373.41,3.27,4.0,2.0,84.08,7.0,N,0.0,11.81,5.36,2.73,2.73,NEUTRAL,373.41,4.0,28.0,0.49,373.1426,C22H19N3O3,6.0,2.0,0.0
236,1731592,CHEMBL3233093,375.43,2.95,4.0,3.0,87.24,7.0,N,0.0,11.81,5.36,2.25,2.25,NEUTRAL,375.43,4.0,28.0,0.46,375.1583,C22H21N3O3,6.0,3.0,0.0
237,1731593,CHEMBL3233094,361.4,3.16,4.0,3.0,87.24,6.0,N,0.0,9.55,5.36,2.72,2.71,NEUTRAL,361.4,4.0,27.0,0.49,361.1426,C21H19N3O3,6.0,3.0,0.0
238,1731594,CHEMBL3233095,424.3,4.22,3.0,2.0,67.01,6.0,N,0.0,11.81,5.36,3.79,3.79,NEUTRAL,424.3,4.0,27.0,0.49,423.0582,C21H18BrN3O2,5.0,2.0,0.0
239,1731595,CHEMBL3233096,372.27,3.62,2.0,2.0,57.78,6.0,N,0.0,11.81,5.36,3.56,3.56,NEUTRAL,372.27,3.0,23.0,0.69,371.0633,C18H18BrN3O,4.0,2.0,0.0
240,1731596,CHEMBL3233097,311.41,3.01,3.0,2.0,57.78,6.0,N,0.0,11.81,5.36,2.51,2.5,NEUTRAL,311.41,3.0,22.0,0.69,311.1092,C17H17N3OS,4.0,2.0,0.0
241,1731597,CHEMBL3233098,309.37,2.69,3.0,2.0,67.01,7.0,N,0.0,11.81,5.36,2.27,2.26,NEUTRAL,309.37,3.0,23.0,0.7,309.1477,C18H19N3O2,5.0,2.0,0.0
242,1731598,CHEMBL3233099,295.39,3.08,3.0,2.0,49.94,7.0,N,0.0,12.44,9.28,3.29,1.41,BASE,295.39,3.0,22.0,0.66,295.1685,C18H21N3O,4.0,2.0,0.0
243,1731599,CHEMBL3233100,276.38,1.98,3.0,1.0,41.57,6.0,N,0.0,,8.27,2.09,1.17,NEUTRAL,276.38,1.0,20.0,0.86,276.1838,C16H24N2O2,4.0,1.0,0.0
244,1731600,CHEMBL3233013,341.25,2.43,3.0,1.0,41.57,6.0,N,0.0,,8.27,2.35,1.42,NEUTRAL,341.25,1.0,20.0,0.86,340.0786,C15H21BrN2O2,4.0,1.0,0.0
245,1731601,CHEMBL3233101,339.28,2.98,2.0,1.0,32.34,6.0,N,0.0,,8.42,3.11,2.05,NEUTRAL,339.28,1.0,20.0,0.86,338.0994,C16H23BrN2O,3.0,1.0,0.0
246,1731602,CHEMBL3233102,308.38,3.21,2.0,2.0,54.12,6.0,N,0.0,,,3.34,3.34,NEUTRAL,308.38,3.0,23.0,0.73,308.1525,C19H20N2O2,4.0,2.0,0.0
247,1731603,CHEMBL3233103,423.31,4.82,2.0,2.0,54.12,6.0,N,0.0,,,4.58,4.58,NEUTRAL,423.31,4.0,27.0,0.47,422.063,C22H19BrN2O2,4.0,2.0,0.0
248,1731604,CHEMBL3233104,355.46,3.17,5.0,1.0,75.01,7.0,N,0.0,,1.7,3.27,3.27,NEUTRAL,355.46,2.0,25.0,0.61,355.1354,C19H21N3O2S,5.0,1.0,0.0
249,1731605,CHEMBL3233105,326.4,2.2,3.0,2.0,67.43,8.0,N,0.0,,,2.08,2.08,NEUTRAL,326.4,2.0,24.0,0.78,326.163,C19H22N2O3,5.0,2.0,0.0
250,1731606,CHEMBL3233106,312.37,2.52,3.0,2.0,67.43,7.0,N,0.0,,,2.37,2.37,NEUTRAL,312.37,2.0,23.0,0.83,312.1474,C18H20N2O3,5.0,2.0,0.0
251,1731607,CHEMBL3233107,328.37,2.22,4.0,3.0,87.66,7.0,N,0.0,9.46,,2.07,2.07,NEUTRAL,328.37,2.0,24.0,0.68,328.1423,C18H20N2O4,6.0,3.0,0.0
252,1731608,CHEMBL3233108,328.37,2.22,4.0,3.0,87.66,7.0,N,0.0,8.79,,2.07,2.05,NEUTRAL,328.37,2.0,24.0,0.68,328.1423,C18H20N2O4,6.0,3.0,0.0
253,1731609,CHEMBL3233109,364.4,3.07,4.0,3.0,87.66,7.0,N,0.0,8.79,,2.55,2.53,NEUTRAL,364.4,3.0,27.0,0.56,364.1423,C21H20N2O4,6.0,3.0,0.0
254,1731610,CHEMBL3233110,358.35,1.7,6.0,3.0,136.59,8.0,N,0.0,13.85,3.32,0.97,0.97,NEUTRAL,358.35,2.0,26.0,0.37,358.1277,C17H18N4O5,9.0,4.0,0.0
255,1731611,CHEMBL3233111,279.73,1.8,3.0,2.0,67.01,6.0,N,0.0,12.93,6.75,0.9,0.84,NEUTRAL,279.73,2.0,19.0,0.85,279.0775,C13H14ClN3O2,5.0,2.0,0.0
256,1731612,CHEMBL3233112,295.34,2.3,3.0,2.0,67.01,6.0,N,0.0,12.94,6.75,1.29,1.22,NEUTRAL,295.34,3.0,22.0,0.73,295.1321,C17H17N3O2,5.0,2.0,0.0
257,1731613,CHEMBL3233113,310.35,2.87,4.0,1.0,64.36,6.0,N,0.0,,,2.6,2.6,NEUTRAL,310.35,3.0,23.0,0.76,310.1317,C18H18N2O3,5.0,1.0,0.0
258,1731614,CHEMBL3233114,346.39,3.72,4.0,1.0,64.36,6.0,N,0.0,,,3.08,3.08,NEUTRAL,346.39,4.0,26.0,0.58,346.1317,C21H18N2O3,5.0,1.0,0.0
259,1731615,CHEMBL3233115,383.88,4.0,4.0,1.0,56.15,9.0,N,0.0,,4.94,3.88,3.88,NEUTRAL,383.88,3.0,27.0,0.57,383.1401,C21H22ClN3O2,5.0,1.0,0.0
260,1731616,CHEMBL3233116,416.28,3.2,5.0,1.0,73.22,6.0,N,0.0,,1.15,2.12,2.12,NEUTRAL,416.28,3.0,26.0,0.67,415.0532,C19H18BrN3O3,6.0,1.0,0.0
261,1731617,CHEMBL3233117,382.38,2.34,7.0,1.0,116.36,7.0,N,0.0,,1.15,1.29,1.29,NEUTRAL,382.38,3.0,28.0,0.5,382.1277,C19H18N4O5,9.0,1.0,0.0
262,1731618,CHEMBL3233118,458.74,4.87,3.0,2.0,67.01,6.0,N,0.0,11.7,5.15,4.39,4.39,NEUTRAL,458.74,4.0,28.0,0.43,457.0193,C21H17BrClN3O2,5.0,2.0,0.0
263,1731619,CHEMBL3233119,454.32,4.22,4.0,2.0,76.24,7.0,N,0.0,12.14,5.82,3.63,3.62,NEUTRAL,454.32,4.0,29.0,0.44,453.0688,C22H20BrN3O3,6.0,2.0,0.0
264,1731620,CHEMBL3233120,438.33,4.52,3.0,2.0,67.01,6.0,N,0.0,12.08,5.79,4.3,4.29,NEUTRAL,438.33,4.0,28.0,0.47,437.0739,C22H20BrN3O2,5.0,2.0,0.0
265,1761634,CHEMBL3291070,524.57,6.5,7.0,3.0,97.61,5.0,N,2.0,8.95,,6.0,5.99,NEUTRAL,524.57,4.0,39.0,0.27,524.1835,C32H28O7,7.0,3.0,2.0
266,1761635,CHEMBL3291071,538.6,6.8,7.0,2.0,86.61,6.0,N,2.0,9.09,,6.15,6.14,NEUTRAL,538.6,4.0,40.0,0.28,538.1992,C33H30O7,7.0,2.0,2.0
267,1761636,CHEMBL3291072,508.57,6.8,6.0,2.0,77.38,5.0,N,2.0,9.09,,6.31,6.3,NEUTRAL,508.57,4.0,38.0,0.31,508.1886,C32H28O6,6.0,2.0,2.0
268,1788490,CHEMBL3329504,280.36,3.65,5.0,1.0,50.17,4.0,N,0.0,9.99,3.11,4.63,4.63,NEUTRAL,280.36,3.0,20.0,0.59,280.0783,C15H12N4S,4.0,1.0,0.0
269,1788491,CHEMBL3329505,294.38,3.96,5.0,1.0,50.17,4.0,N,0.0,10.0,3.11,5.15,5.15,NEUTRAL,294.38,3.0,21.0,0.59,294.0939,C16H14N4S,4.0,1.0,0.0
270,1788492,CHEMBL3329506,359.25,4.41,5.0,1.0,50.17,4.0,N,0.0,9.99,3.08,5.4,5.4,NEUTRAL,359.25,3.0,21.0,0.55,357.9888,C15H11BrN4S,4.0,1.0,0.0
271,1788493,CHEMBL3329507,373.28,4.72,5.0,1.0,50.17,4.0,N,0.0,10.7,3.14,6.05,6.05,NEUTRAL,373.28,3.0,22.0,0.53,372.0044,C16H13BrN4S,4.0,1.0,0.0
272,1788494,CHEMBL3329508,298.35,3.79,5.0,1.0,50.17,4.0,N,0.0,9.99,3.08,4.78,4.78,NEUTRAL,298.35,3.0,21.0,0.59,298.0688,C15H11FN4S,4.0,1.0,0.0
273,1788495,CHEMBL3329509,310.38,3.66,6.0,1.0,59.4,5.0,N,0.0,10.0,3.09,4.48,4.47,NEUTRAL,310.38,3.0,22.0,0.58,310.0888,C16H14N4OS,5.0,1.0,0.0
274,1788496,CHEMBL3329510,314.8,4.3,5.0,1.0,50.17,4.0,N,0.0,9.99,3.08,5.24,5.24,NEUTRAL,314.8,3.0,21.0,0.58,314.0393,C15H11ClN4S,4.0,1.0,0.0
275,1788497,CHEMBL3329511,349.25,4.96,5.0,1.0,50.17,4.0,N,0.0,9.96,3.07,5.84,5.84,NEUTRAL,349.25,3.0,22.0,0.54,348.0003,C15H10Cl2N4S,4.0,1.0,0.0
276,1788498,CHEMBL3329512,349.25,4.96,5.0,1.0,50.17,4.0,N,0.0,9.99,3.07,5.84,5.84,NEUTRAL,349.25,3.0,22.0,0.54,348.0003,C15H10Cl2N4S,4.0,1.0,0.0
277,1788499,CHEMBL3329513,325.35,3.56,7.0,1.0,93.31,5.0,N,0.0,9.98,3.08,4.57,4.57,NEUTRAL,325.35,3.0,23.0,0.44,325.0633,C15H11N5O2S,7.0,1.0,0.0
278,1788500,CHEMBL3329223,325.35,3.56,7.0,1.0,93.31,5.0,N,0.0,9.98,3.08,4.57,4.57,NEUTRAL,325.35,3.0,23.0,0.44,325.0633,C15H11N5O2S,7.0,1.0,0.0
279,1788501,CHEMBL3329514,330.42,4.8,5.0,1.0,50.17,4.0,N,0.0,9.99,3.12,5.62,5.62,NEUTRAL,330.42,4.0,24.0,0.43,330.0939,C19H14N4S,4.0,1.0,0.0
280,1788502,CHEMBL3329515,308.41,4.35,5.0,1.0,50.17,4.0,N,0.0,9.58,2.94,4.7,4.7,NEUTRAL,308.41,3.0,22.0,0.58,308.1096,C17H16N4S,4.0,1.0,0.0
281,1788503,CHEMBL3329516,373.28,4.8,5.0,1.0,50.17,4.0,N,0.0,9.57,2.92,4.96,4.96,NEUTRAL,373.28,3.0,22.0,0.53,372.0044,C16H13BrN4S,4.0,1.0,0.0
282,1788504,CHEMBL3329517,387.31,5.11,5.0,1.0,50.17,4.0,N,1.0,10.29,3.0,5.6,5.6,NEUTRAL,387.31,3.0,23.0,0.5,386.0201,C17H15BrN4S,4.0,1.0,1.0
283,1788505,CHEMBL3329518,312.37,4.18,5.0,1.0,50.17,4.0,N,0.0,9.58,2.92,4.33,4.33,NEUTRAL,312.37,3.0,22.0,0.58,312.0845,C16H13FN4S,4.0,1.0,0.0
284,1788506,CHEMBL3329519,324.41,4.05,6.0,1.0,59.4,5.0,N,0.0,9.58,2.92,4.03,4.03,NEUTRAL,324.41,3.0,23.0,0.57,324.1045,C17H16N4OS,5.0,1.0,0.0
285,1788507,CHEMBL3329520,363.27,5.35,5.0,1.0,50.17,4.0,N,1.0,9.54,2.91,5.4,5.39,NEUTRAL,363.27,3.0,23.0,0.5,362.016,C16H12Cl2N4S,4.0,1.0,1.0
286,1788508,CHEMBL3329521,363.27,5.35,5.0,1.0,50.17,4.0,N,1.0,9.57,2.91,5.4,5.4,NEUTRAL,363.27,3.0,23.0,0.5,362.016,C16H12Cl2N4S,4.0,1.0,1.0
287,1788509,CHEMBL3329522,339.38,3.95,7.0,1.0,93.31,5.0,N,0.0,9.56,2.91,4.13,4.13,NEUTRAL,339.38,3.0,24.0,0.43,339.079,C16H13N5O2S,7.0,1.0,0.0
288,1788510,CHEMBL3329523,339.38,3.95,7.0,1.0,93.31,5.0,N,0.0,9.56,2.91,4.13,4.13,NEUTRAL,339.38,3.0,24.0,0.43,339.079,C16H13N5O2S,7.0,1.0,0.0
289,1788511,CHEMBL3329524,344.44,5.19,5.0,1.0,50.17,4.0,N,1.0,9.57,2.95,5.18,5.18,NEUTRAL,344.44,4.0,25.0,0.41,344.1096,C20H16N4S,4.0,1.0,1.0
290,1796732,CHEMBL3347303,385.45,0.16,5.0,2.0,111.78,5.0,N,0.0,-4.5,2.54,-3.41,0.42,ACID,385.45,2.0,27.0,0.25,385.1209,C18H19N5O3S,8.0,3.0,0.0
291,1796733,CHEMBL3347304,383.43,2.02,6.0,2.0,98.62,7.0,N,0.0,11.31,2.36,2.69,2.69,NEUTRAL,383.43,3.0,27.0,0.21,383.1052,C18H17N5O3S,8.0,2.0,0.0
292,1796743,CHEMBL3347314,425.51,0.98,5.0,2.0,97.79,7.0,N,0.0,-4.5,2.64,-2.55,1.37,ACID,425.51,2.0,30.0,0.17,425.1522,C21H23N5O3S,8.0,2.0,0.0
293,1796744,CHEMBL3347315,419.47,3.36,6.0,2.0,98.62,6.0,N,0.0,11.41,2.23,4.11,4.11,NEUTRAL,419.47,4.0,30.0,0.21,419.1052,C21H17N5O3S,8.0,2.0,0.0
294,1796750,CHEMBL3347321,461.55,2.31,5.0,2.0,97.79,6.0,N,0.0,-4.5,2.49,-1.12,2.66,ACID,461.55,3.0,33.0,0.19,461.1522,C24H23N5O3S,8.0,2.0,0.0
295,1796760,CHEMBL3347331,369.38,0.0,5.0,2.0,128.85,5.0,N,0.0,-4.5,1.91,-3.56,-0.47,ACID,369.38,2.0,27.0,0.33,369.1437,C18H19N5O4,9.0,3.0,0.0
296,1796761,CHEMBL3347332,270.24,1.85,5.0,0.0,79.27,4.0,N,0.0,,,1.45,1.45,NEUTRAL,270.24,3.0,20.0,0.53,270.0641,C14H10N2O4,6.0,0.0,0.0
297,1796762,CHEMBL3347333,312.33,0.81,4.0,0.0,78.44,4.0,N,0.0,-4.14,,-0.88,0.44,ACID,312.33,2.0,23.0,0.48,312.111,C17H16N2O4,6.0,0.0,0.0
298,1796774,CHEMBL3347345,326.32,0.86,6.0,3.0,136.46,5.0,N,0.0,,8.43,1.68,0.62,NEUTRAL,326.32,3.0,24.0,0.28,326.1127,C15H14N6O3,9.0,4.0,0.0
299,1796775,CHEMBL3347346,343.37,1.21,6.0,2.0,112.61,5.0,N,0.0,11.71,2.1,1.7,1.7,NEUTRAL,343.37,3.0,24.0,0.31,343.0739,C15H13N5O3S,8.0,3.0,0.0
300,1796776,CHEMBL3347347,385.45,0.16,5.0,2.0,111.78,5.0,N,0.0,-4.52,2.38,-3.23,0.42,ACID,385.45,2.0,27.0,0.25,385.1209,C18H19N5O3S,8.0,3.0,0.0
301,1796788,CHEMBL3347359,383.43,2.02,6.0,2.0,98.62,7.0,N,0.0,11.31,2.23,2.69,2.69,NEUTRAL,383.43,3.0,27.0,0.21,383.1052,C18H17N5O3S,8.0,2.0,0.0
302,1796789,CHEMBL3347360,270.24,1.85,5.0,0.0,79.27,4.0,N,0.0,,,1.45,1.45,NEUTRAL,270.24,3.0,20.0,0.53,270.0641,C14H10N2O4,6.0,0.0,0.0
303,1796790,CHEMBL3347361,326.32,0.86,6.0,3.0,136.46,5.0,N,0.0,,8.4,1.68,0.65,NEUTRAL,326.32,3.0,24.0,0.28,326.1127,C15H14N6O3,9.0,4.0,0.0
